Sample,height,mouth_diam,tube_diam,keel_diam,wing1_length,wing2_length,wingsprea,hoodarea,wingarea,tubearea
34,715,39.5,19.7,5.3,85,74,60,58.99,37.4,103.79
35,573,33,15.8,4.8,95,118,108,47.33,39.33,64.5
36,586,33.8,19.1,5.4,104,94,85,44.33,31.1,79.7
37,650,36.3,20.2,6.1,114,94,80,51.82,40.65,82.04
38,480,27,18.1,7,56,74,116,26.91,13.91,56.91
39,545,30.3,17.3,5.5,85,88,130,45.05,24.85,61.89
40,845,37.3,19.3,6,80,50,40,49.51,17.92,130.04
41,560,42.1,14.6,3.5,105,104,75,44.66,30,55.83
42,450,31.2,20.6,7.1,67,72,81,36.77,13.96,50.87
43,600,34.6,17.1,6.1,88,76,104,42.29,23.67,76.21
44,607,33.5,14.8,1.6,75,68,110,48.88,26.01,71.81
45,675,31.4,16.3,14.8,70,55,70,34.8,18.2,50.48
46,550,29.4,17.6,4.9,75,55,50,37.18,16.16,62.34
47,510,29.6,14.4,2.7,55,48,40,32.94,10.67,47.96
48,534,30.2,16.5,4.6,71,71,80,32.76,16.27,70.98
49,655,35.8,15.7,3.8,69,64,88,51.17,19.89,77.94
50,655,35.2,17.7,4.9,75,82,93,44.76,23.94,80.67
51,458,26.3,20.7,7.3,57,50,25,34.5,9.09,59.48
52,632,37.6,20.3,6.6,70,63,74,54.82,19.71,99.62
53,720,37.9,19,5.6,66,50,70,64.52,20.75,117.17
54,640,34.5,16.3,4,115,112,120,51.6,51.08,91.99
55,705,34.9,17.9,3.4,105,107,199,61.78,58.18,117.54
56,712,31.7,20.6,3.6,84,89,85,68.81,31.77,111.19
57,749,30,18.3,3,60,50,100,55.94,14.25,129.95
58,620,30.8,17.5,4.9,68,53,108,59.46,18.83,88.25
59,625,32.5,29.6,5.5,70,85,135,59.57,27.36,92.44
60,664,32.7,22.3,5.1,92,82,100,50.77,30.07,102.75
61,625,31.2,20.5,4.8,80,85,120,50.19,27.65,91.88
62,685,38.8,24.8,8.7,75,65,80,60.27,19.53,103.38
63,322,22.6,16,4.7,52,50,85,23.03,11.83,29.57
